candidate,votes,election_day,absentee
Total .  .  .  .  .  .  .  .  .  .,"1,146","1,001",144
,,,
,,,
UNITED STATES SENATOR,,,
Vote for NOT MORE THAN  1,,,
Bob Casey Jr (DEM)  .  .  .  .  .  .  .  .,877,774,101
Lou Barletta (REP)  .  .  .  .  .  .  .  .,"1,220","1,103",117
Neal Gale (GRN)  .  .  .  .  .  .  .  .  .,5,3,2
Dale R Kerns Jr (LN).  .  .  .  .  .  .  .,18,17,1
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,1,1,0
Total .  .  .  .  .  .  .  .  .  .,"2,121","1,898",221
,,,
,,,
GOVERNOR,,,
Vote for NOT MORE THAN  1,,,
Tom Wolf (DEM).  .  .  .  .  .  .  .  .  .,958,849,109
Scott R Wagner (REP).  .  .  .  .  .  .  .,"1,149","1,041",108
Paul Glover (GRN).  .  .  .  .  .  .  .  .,7,5,2
Ken V Krawchuk (LN) .  .  .  .  .  .  .  .,14,13,1
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,2,2,0
Total .  .  .  .  .  .  .  .  .  .,"2,130","1,910",220
,,,
,,,
REPRESENTATIVE IN CONGRESS 14TH DISTRICT,,,
Vote for NOT MORE THAN  1,,,
Bibiana Boerio (DEM).  .  .  .  .  .  .  .,853,754,97
Guy Reschenthaler (REP).  .  .  .  .  .  .,"1,275","1,155",120
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,1,0,1
Total .  .  .  .  .  .  .  .  .  .,"2,129","1,909",218
,,,
,,,
REPRESENTATIVE IN THE GENERAL ASSEMBLY 54TH D,ISTRICT,,
Vote for NOT MORE THAN  1,,,
Jon McCabe (DEM) .  .  .  .  .  .  .  .  .,774,689,85
Bob Brooks (REP) .  .  .  .  .  .  .  .  .,"1,353","1,216",137
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,2,2,0
Total .  .  .  .  .  .  .  .  .  .,"2,129","1,907",222
,,,
PREC REPORT-GROUP DETAIL,O,,
,G,,
,N,,
Run Date:11/14/18 10:49 AM,,,
,,,
3512 MURRYSVILLE - SARDIS,,,
TOTAL,VOTES,Day,Absentee
REGISTERED VOTERS - TOTAL .  .  .  .  .  .,"3,629",,
BALLOTS CAST - TOTAL.  .  .  .  .  .  .  .,"2,243","2,094",147
VOTER TURNOUT - TOTAL  .  .  .  .  .  .  .,,,
,,,
,,,
STRAIGHT PARTY,,,
Vote for NOT MORE THAN  1,,,
Democratic (DEM) .  .  .  .  .  .  .  .  .,573,517,55
Republican (REP) .  .  .  .  .  .  .  .  .,795,757,37
Green Party (GRN).  .  .  .  .  .  .  .  .,0,0,0
Libertarian (LN) .  .  .  .  .  .  .  .  .,3,3,0
Total .  .  .  .  .  .  .  .  .  .,"1,371","1,277",92
,,,
,,,
UNITED STATES SENATOR,,,
Vote for NOT MORE THAN  1,,,
Bob Casey Jr (DEM)  .  .  .  .  .  .  .  .,996,906,89
Lou Barletta (REP)  .  .  .  .  .  .  .  .,"1,188","1,130",57
Neal Gale (GRN)  .  .  .  .  .  .  .  .  .,4,4,0
Dale R Kerns Jr (LN).  .  .  .  .  .  .  .,22,21,1
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,1,1,0
Total .  .  .  .  .  .  .  .  .  .,"2,211","2,062",147
,,,
,,,
GOVERNOR,,,
Vote for NOT MORE THAN  1,,,
Tom Wolf (DEM).  .  .  .  .  .  .  .  .  .,"1,087",995,92
Scott R Wagner (REP).  .  .  .  .  .  .  .,"1,112","1,059",53
Paul Glover (GRN).  .  .  .  .  .  .  .  .,7,7,0
Ken V Krawchuk (LN) .  .  .  .  .  .  .  .,21,21,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,1,1,0
Total .  .  .  .  .  .  .  .  .  .,"2,228","2,083",145
,,,
,,,
REPRESENTATIVE IN CONGRESS 14TH DISTRICT,,,
Vote for NOT MORE THAN  1,,,
Bibiana Boerio (DEM).  .  .  .  .  .  .  .,953,874,78
Guy Reschenthaler (REP).  .  .  .  .  .  .,"1,265","1,197",67
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,4,3,1
Total .  .  .  .  .  .  .  .  .  .,"2,222","2,074",146
,,,
,,,
REPRESENTATIVE IN THE GENERAL ASSEMBLY 54TH D,ISTRICT,,
Vote for NOT MORE THAN  1,,,
Jon McCabe (DEM) .  .  .  .  .  .  .  .  .,856,786,70
Bob Brooks (REP) .  .  .  .  .  .  .  .  .,"1,364","1,288",76
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,2,1,1
Total .  .  .  .  .  .  .  .  .  .,"2,222","2,075",147
,,,
PREC REPORT-GROUP DETAIL,O,,
,G,,
,N,,
Run Date:11/14/18 10:49 AM,,,
,,,
3515 MURRYSVILLE - S MURRYSVIL,,,
TOTAL,VOTES,Day,Absentee
REGISTERED VOTERS - TOTAL .  .  .  .  .  .,"1,821",,
BALLOTS CAST - TOTAL.  .  .  .  .  .  .  .,"1,252","1,172",79
VOTER TURNOUT - TOTAL  .  .  .  .  .  .  .,,,
,,,
,,,
STRAIGHT PARTY,,,
Vote for NOT MORE THAN  1,,,
Democratic (DEM) .  .  .  .  .  .  .  .  .,259,240,19
Republican (REP) .  .  .  .  .  .  .  .  .,468,441,27
Green Party (GRN).  .  .  .  .  .  .  .  .,0,0,0
Libertarian (LN) .  .  .  .  .  .  .  .  .,1,1,0
Total .  .  .  .  .  .  .  .  .  .,728,682,46
,,,
,,,
UNITED STATES SENATOR,,,
Vote for NOT MORE THAN  1,,,
Bob Casey Jr (DEM)  .  .  .  .  .  .  .  .,500,463,36
Lou Barletta (REP)  .  .  .  .  .  .  .  .,714,673,41
Neal Gale (GRN)  .  .  .  .  .  .  .  .  .,5,5,0
Dale R Kerns Jr (LN).  .  .  .  .  .  .  .,14,13,1
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0
Total .  .  .  .  .  .  .  .  .  .,"1,233","1,154",78
,,,
,,,
GOVERNOR,,,
Vote for NOT MORE THAN  1,,,
Tom Wolf (DEM).  .  .  .  .  .  .  .  .  .,551,508,43
Scott R Wagner (REP).  .  .  .  .  .  .  .,683,647,36
Paul Glover (GRN).  .  .  .  .  .  .  .  .,1,1,0
Ken V Krawchuk (LN) .  .  .  .  .  .  .  .,13,13,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0
Total .  .  .  .  .  .  .  .  .  .,"1,248","1,169",79
,,,
,,,
REPRESENTATIVE IN CONGRESS 14TH DISTRICT,,,
Vote for NOT MORE THAN  1,,,
Bibiana Boerio (DEM).  .  .  .  .  .  .  .,475,442,32
Guy Reschenthaler (REP).  .  .  .  .  .  .,774,727,47
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,1,1,0
Total .  .  .  .  .  .  .  .  .  .,"1,250","1,170",79
,,,
,,,
REPRESENTATIVE IN THE GENERAL ASSEMBLY 54TH D,ISTRICT,,
Vote for NOT MORE THAN  1,,,
Jon McCabe (DEM) .  .  .  .  .  .  .  .  .,409,383,26
Bob Brooks (REP) .  .  .  .  .  .  .  .  .,836,783,53
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,1,1,0
Total .  .  .  .  .  .  .  .  .  .,"1,246","1,167",79
,,,
PREC REPORT-GROUP DETAIL,O,,
,G,,
,N,,
Run Date:11/14/18 10:49 AM,,,
,,,
3518 MURRYSVILLE - W MURRYSVIL,,,
TOTAL,VOTES,Day,Absentee
REGISTERED VOTERS - TOTAL .  .  .  .  .  .,"2,066",,
BALLOTS CAST - TOTAL.  .  .  .  .  .  .  .,"1,385","1,296",88
VOTER TURNOUT - TOTAL  .  .  .  .  .  .  .,,,
,,,
,,,
STRAIGHT PARTY,,,
Vote for NOT MORE THAN  1,,,
Democratic (DEM) .  .  .  .  .  .  .  .  .,287,269,18
Republican (REP) .  .  .  .  .  .  .  .  .,443,410,33
Green Party (GRN).  .  .  .  .  .  .  .  .,0,0,0
Libertarian (LN) .  .  .  .  .  .  .  .  .,1,1,0
Total .  .  .  .  .  .  .  .  .  .,731,680,51
,,,
,,,
UNITED STATES SENATOR,,,
Vote for NOT MORE THAN  1,,,
Bob Casey Jr (DEM)  .  .  .  .  .  .  .  .,611,572,39
Lou Barletta (REP)  .  .  .  .  .  .  .  .,739,691,47
Neal Gale (GRN)  .  .  .  .  .  .  .  .  .,7,7,0
Dale R Kerns Jr (LN).  .  .  .  .  .  .  .,10,9,1
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0
Total .  .  .  .  .  .  .  .  .  .,"1,367","1,279",87
,,,
,,,
GOVERNOR,,,
Vote for NOT MORE THAN  1,,,
Tom Wolf (DEM).  .  .  .  .  .  .  .  .  .,672,631,41
Scott R Wagner (REP).  .  .  .  .  .  .  .,681,635,46
Paul Glover (GRN).  .  .  .  .  .  .  .  .,7,7,0
Ken V Krawchuk (LN) .  .  .  .  .  .  .  .,9,9,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0
Total .  .  .  .  .  .  .  .  .  .,"1,369","1,282",87
,,,
,,,
REPRESENTATIVE IN CONGRESS 14TH DISTRICT,,,
Vote for NOT MORE THAN  1,,,
Bibiana Boerio (DEM).  .  .  .  .  .  .  .,600,565,35
Guy Reschenthaler (REP).  .  .  .  .  .  .,772,719,52
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0
Total .  .  .  .  .  .  .  .  .  .,"1,372","1,284",87
,,,
,,,
REPRESENTATIVE IN THE GENERAL ASSEMBLY 54TH D,ISTRICT,,
Vote for NOT MORE THAN  1,,,
Jon McCabe (DEM) .  .  .  .  .  .  .  .  .,500,474,26
Bob Brooks (REP) .  .  .  .  .  .  .  .  .,870,808,62
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,5,5,0
Total .  .  .  .  .  .  .  .  .  .,"1,375","1,287",88
,,,
PREC REPORT-GROUP DETAIL,O,,
,G,,
,N,,
Run Date:11/14/18 10:49 AM,,,
,,,
3600 NEW ALEXANDRIA BOROUGH,,,
TOTAL,VOTES,Day,Absentee
REGISTERED VOTERS - TOTAL .  .  .  .  .  .,373,,
BALLOTS CAST - TOTAL.  .  .  .  .  .  .  .,244,227,17
VOTER TURNOUT - TOTAL  .  .  .  .  .  .  .,,,
,,,
,,,
STRAIGHT PARTY,,,
Vote for NOT MORE THAN  1,,,
Democratic (DEM) .  .  .  .  .  .  .  .  .,49,45,4
Republican (REP) .  .  .  .  .  .  .  .  .,67,61,6
Green Party (GRN).  .  .  .  .  .  .  .  .,0,0,0
Libertarian (LN) .  .  .  .  .  .  .  .  .,0,0,0
Total .  .  .  .  .  .  .  .  .  .,116,106,10
,,,
,,,
UNITED STATES SENATOR,,,
Vote for NOT MORE THAN  1,,,
Bob Casey Jr (DEM)  .  .  .  .  .  .  .  .,107,102,5
Lou Barletta (REP)  .  .  .  .  .  .  .  .,131,119,12
Neal Gale (GRN)  .  .  .  .  .  .  .  .  .,0,0,0
Dale R Kerns Jr (LN).  .  .  .  .  .  .  .,4,4,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0
Total .  .  .  .  .  .  .  .  .  .,242,225,17
,,,
,,,
GOVERNOR,,,
Vote for NOT MORE THAN  1,,,
Tom Wolf (DEM).  .  .  .  .  .  .  .  .  .,112,106,6
Scott R Wagner (REP).  .  .  .  .  .  .  .,129,118,11
Paul Glover (GRN).  .  .  .  .  .  .  .  .,0,0,0
Ken V Krawchuk (LN) .  .  .  .  .  .  .  .,2,2,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0
Total .  .  .  .  .  .  .  .  .  .,243,226,17
,,,
,,,
REPRESENTATIVE IN CONGRESS 13TH DISTRICT,,,
Vote for NOT MORE THAN  1,,,
Brent Ottaway (DEM) .  .  .  .  .  .  .  .,96,91,5
John Joyce (REP) .  .  .  .  .  .  .  .  .,145,133,12
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0
Total .  .  .  .  .  .  .  .  .  .,241,224,17
,,,
,,,
REPRESENTATIVE IN THE GENERAL ASSEMBLY 55TH D,ISTRICT,,
Vote for NOT MORE THAN  1,,,
Joseph A Petrarca (DEM).  .  .  .  .  .  .,179,168,11
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,6,6,0
Total .  .  .  .  .  .  .  .  .  .,185,174,11
,,,
PREC REPORT-GROUP DETAIL,O,,
,G,,
,N,,
Run Date:11/14/18 10:49 AM,,,
,,,
3700 NEW FLORENCE BOROUGH,,,
TOTAL,VOTES,Day,Absentee
REGISTERED VOTERS - TOTAL .  .  .  .  .  .,394,,
BALLOTS CAST - TOTAL.  .  .  .  .  .  .  .,201,195,6
VOTER TURNOUT - TOTAL  .  .  .  .  .  .  .,,,
,,,
,,,
STRAIGHT PARTY,,,
Vote for NOT MORE THAN  1,,,
Democratic (DEM) .  .  .  .  .  .  .  .  .,36,36,0
Republican (REP) .  .  .  .  .  .  .  .  .,83,79,4
Green Party (GRN).  .  .  .  .  .  .  .  .,0,0,0
Libertarian (LN) .  .  .  .  .  .  .  .  .,0,0,0
Total .  .  .  .  .  .  .  .  .  .,119,115,4
,,,
,,,
UNITED STATES SENATOR,,,
Vote for NOT MORE THAN  1,,,
Bob Casey Jr (DEM)  .  .  .  .  .  .  .  .,79,77,2
Lou Barletta (REP)  .  .  .  .  .  .  .  .,110,106,4
Neal Gale (GRN)  .  .  .  .  .  .  .  .  .,3,3,0
Dale R Kerns Jr (LN).  .  .  .  .  .  .  .,3,3,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0
Total .  .  .  .  .  .  .  .  .  .,195,189,6
,,,
,,,
GOVERNOR,,,
Vote for NOT MORE THAN  1,,,
Tom Wolf (DEM).  .  .  .  .  .  .  .  .  .,82,80,2
Scott R Wagner (REP).  .  .  .  .  .  .  .,112,108,4
Paul Glover (GRN).  .  .  .  .  .  .  .  .,1,1,0
Ken V Krawchuk (LN) .  .  .  .  .  .  .  .,4,4,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0
Total .  .  .  .  .  .  .  .  .  .,199,193,6
,,,
,,,
REPRESENTATIVE IN CONGRESS 13TH DISTRICT,,,
Vote for NOT MORE THAN  1,,,
Brent Ottaway (DEM) .  .  .  .  .  .  .  .,64,62,2
John Joyce (REP) .  .  .  .  .  .  .  .  .,130,126,4
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0
Total .  .  .  .  .  .  .  .  .  .,194,188,6
,,,
,,,
REPRESENTATIVE IN THE GENERAL ASSEMBLY 59TH D,ISTRICT,,
Vote for NOT MORE THAN  1,,,
Clare Dooley (DEM)  .  .  .  .  .  .  .  .,57,56,1
Mike Reese (REP) .  .  .  .  .  .  .  .  .,141,136,5
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0
Total .  .  .  .  .  .  .  .  .  .,198,192,6
,,,
PREC REPORT-GROUP DETAIL,O,,
,G,,
,N,,
Run Date:11/14/18 10:49 AM,,,
,,,
3820 NEW KENSINGTON - 2,,,
TOTAL,VOTES,Day,Absentee
REGISTERED VOTERS - TOTAL .  .  .  .  .  .,400,,
BALLOTS CAST - TOTAL.  .  .  .  .  .  .  .,122,119,2
VOTER TURNOUT - TOTAL  .  .  .  .  .  .  .,,,
,,,
,,,
STRAIGHT PARTY,,,
Vote for NOT MORE THAN  1,,,
Democratic (DEM) .  .  .  .  .  .  .  .  .,67,67,0
Republican (REP) .  .  .  .  .  .  .  .  .,22,21,1
Green Party (GRN).  .  .  .  .  .  .  .  .,0,0,0
Libertarian (LN) .  .  .  .  .  .  .  .  .,1,1,0
Total .  .  .  .  .  .  .  .  .  .,90,89,1
,,,
,,,
UNITED STATES SENATOR,,,
Vote for NOT MORE THAN  1,,,
Bob Casey Jr (DEM)  .  .  .  .  .  .  .  .,84,83,1
Lou Barletta (REP)  .  .  .  .  .  .  .  .,34,32,1
Neal Gale (GRN)  .  .  .  .  .  .  .  .  .,0,0,0
Dale R Kerns Jr (LN).  .  .  .  .  .  .  .,1,1,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0
Total .  .  .  .  .  .  .  .  .  .,119,116,2
,,,
,,,
GOVERNOR,,,
Vote for NOT MORE THAN  1,,,
Tom Wolf (DEM).  .  .  .  .  .  .  .  .  .,90,89,1
Scott R Wagner (REP).  .  .  .  .  .  .  .,30,29,1
Paul Glover (GRN).  .  .  .  .  .  .  .  .,0,0,0
Ken V Krawchuk (LN) .  .  .  .  .  .  .  .,1,1,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0
Total .  .  .  .  .  .  .  .  .  .,121,119,2
,,,
,,,
REPRESENTATIVE IN CONGRESS 14TH DISTRICT,,,
Vote for NOT MORE THAN  1,,,
Bibiana Boerio (DEM).  .  .  .  .  .  .  .,81,80,1
Guy Reschenthaler (REP).  .  .  .  .  .  .,37,35,1
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0
Total .  .  .  .  .  .  .  .  .  .,118,115,2
,,,
,,,
REPRESENTATIVE IN THE GENERAL ASSEMBLY 33RD D,ISTRICT,,
Vote for NOT MORE THAN  1,,,
Frank Dermody (DEM) .  .  .  .  .  .  .  .,89,88,1
Joshua R Nulph (REP).  .  .  .  .  .  .  .,30,29,1
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0
Total .  .  .  .  .  .  .  .  .  .,119,117,2
,,,
PREC REPORT-GROUP DETAIL,O,,
,G,,
,N,,
Run Date:11/14/18 10:49 AM,,,
,,,
3831 NEW KENSINGTON - 3-1,,,
TOTAL,VOTES,Day,Absentee
REGISTERED VOTERS - TOTAL .  .  .  .  .  .,517,,
BALLOTS CAST - TOTAL.  .  .  .  .  .  .  .,271,262,9
VOTER TURNOUT - TOTAL  .  .  .  .  .  .  .,,,
,,,
,,,
STRAIGHT PARTY,,,
Vote for NOT MORE THAN  1,,,
Democratic (DEM) .  .  .  .  .  .  .  .  .,107,106,1
Republican (REP) .  .  .  .  .  .  .  .  .,46,43,3
Green Party (GRN).  .  .  .  .  .  .  .  .,0,0,0
Libertarian (LN) .  .  .  .  .  .  .  .  .,1,1,0
Total .  .  .  .  .  .  .  .  .  .,154,150,4
,,,
,,,
UNITED STATES SENATOR,,,
Vote for NOT MORE THAN  1,,,
Bob Casey Jr (DEM)  .  .  .  .  .  .  .  .,172,168,4
Lou Barletta (REP)  .  .  .  .  .  .  .  .,86,81,5
Neal Gale (GRN)  .  .  .  .  .  .  .  .  .,5,5,0
Dale R Kerns Jr (LN).  .  .  .  .  .  .  .,3,3,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,1,1,0
Total .  .  .  .  .  .  .  .  .  .,267,258,9
,,,
,,,
GOVERNOR,,,
Vote for NOT MORE THAN  1,,,
Tom Wolf (DEM).  .  .  .  .  .  .  .  .  .,178,175,3
Scott R Wagner (REP).  .  .  .  .  .  .  .,81,76,5
Paul Glover (GRN).  .  .  .  .  .  .  .  .,3,3,0
Ken V Krawchuk (LN) .  .  .  .  .  .  .  .,4,4,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,1,1,0
Total .  .  .  .  .  .  .  .  .  .,267,259,8
,,,
,,,
REPRESENTATIVE IN CONGRESS 14TH DISTRICT,,,
Vote for NOT MORE THAN  1,,,
Bibiana Boerio (DEM).  .  .  .  .  .  .  .,165,162,3
Guy Reschenthaler (REP).  .  .  .  .  .  .,98,92,6
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,2,2,0
Total .  .  .  .  .  .  .  .  .  .,265,256,9
,,,
,,,
REPRESENTATIVE IN THE GENERAL ASSEMBLY 33RD D,ISTRICT,,
Vote for NOT MORE THAN  1,,,
Frank Dermody (DEM) .  .  .  .  .  .  .  .,172,169,3
Joshua R Nulph (REP).  .  .  .  .  .  .  .,93,87,6
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,1,1,0
Total .  .  .  .  .  .  .  .  .  .,266,257,9
,,,
PREC REPORT-GROUP DETAIL,O,,
,G,,
,N,,
Run Date:11/14/18 10:49 AM,,,
,,,
3832 NEW KENSINGTON - 3-2,,,
TOTAL,VOTES,Day,Absentee
REGISTERED VOTERS - TOTAL .  .  .  .  .  .,565,,
BALLOTS CAST - TOTAL.  .  .  .  .  .  .  .,297,289,8
VOTER TURNOUT - TOTAL  .  .  .  .  .  .  .,,,
,,,
,,,
STRAIGHT PARTY,,,
Vote for NOT MORE THAN  1,,,
Democratic (DEM) .  .  .  .  .  .  .  .  .,94,92,2
Republican (REP) .  .  .  .  .  .  .  .  .,78,78,0
Green Party (GRN).  .  .  .  .  .  .  .  .,0,0,0
Libertarian (LN) .  .  .  .  .  .  .  .  .,0,0,0
Total .  .  .  .  .  .  .  .  .  .,172,170,2
,,,
,,,
UNITED STATES SENATOR,,,
Vote for NOT MORE THAN  1,,,
Bob Casey Jr (DEM)  .  .  .  .  .  .  .  .,172,166,6
Lou Barletta (REP)  .  .  .  .  .  .  .  .,118,116,2
Neal Gale (GRN)  .  .  .  .  .  .  .  .  .,2,2,0
Dale R Kerns Jr (LN).  .  .  .  .  .  .  .,0,0,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0
Total .  .  .  .  .  .  .  .  .  .,292,284,8
,,,
,,,
GOVERNOR,,,
Vote for NOT MORE THAN  1,,,
Tom Wolf (DEM).  .  .  .  .  .  .  .  .  .,170,163,7
Scott R Wagner (REP).  .  .  .  .  .  .  .,122,121,1
Paul Glover (GRN).  .  .  .  .  .  .  .  .,2,2,0
Ken V Krawchuk (LN) .  .  .  .  .  .  .  .,1,1,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0
Total .  .  .  .  .  .  .  .  .  .,295,287,8
,,,
,,,
REPRESENTATIVE IN CONGRESS 14TH DISTRICT,,,
Vote for NOT MORE THAN  1,,,
Bibiana Boerio (DEM).  .  .  .  .  .  .  .,138,135,3
Guy Reschenthaler (REP).  .  .  .  .  .  .,156,151,5
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0
Total .  .  .  .  .  .  .  .  .  .,294,286,8
,,,
,,,
REPRESENTATIVE IN THE GENERAL ASSEMBLY 33RD D,ISTRICT,,
Vote for NOT MORE THAN  1,,,
Frank Dermody (DEM) .  .  .  .  .  .  .  .,159,153,6
Joshua R Nulph (REP).  .  .  .  .  .  .  .,134,132,2
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0
Total .  .  .  .  .  .  .  .  .  .,293,285,8
,,,
PREC REPORT-GROUP DETAIL,O,,
,G,,
,N,,
Run Date:11/14/18 10:49 AM,,,
,,,
3833 NEW KENSINGTON - 3-3,,,
TOTAL,VOTES,Day,Absentee
REGISTERED VOTERS - TOTAL .  .  .  .  .  .,494,,
BALLOTS CAST - TOTAL.  .  .  .  .  .  .  .,310,301,9
VOTER TURNOUT - TOTAL  .  .  .  .  .  .  .,,,
,,,
,,,
STRAIGHT PARTY,,,
Vote for NOT MORE THAN  1,,,
Democratic (DEM) .  .  .  .  .  .  .  .  .,96,90,6
Republican (REP) .  .  .  .  .  .  .  .  .,86,84,2
Green Party (GRN).  .  .  .  .  .  .  .  .,0,0,0
Libertarian (LN) .  .  .  .  .  .  .  .  .,2,2,0
Total .  .  .  .  .  .  .  .  .  .,184,176,8
,,,
,,,
UNITED STATES SENATOR,,,
Vote for NOT MORE THAN  1,,,
Bob Casey Jr (DEM)  .  .  .  .  .  .  .  .,158,151,7
Lou Barletta (REP)  .  .  .  .  .  .  .  .,137,135,2
Neal Gale (GRN)  .  .  .  .  .  .  .  .  .,0,0,0
Dale R Kerns Jr (LN).  .  .  .  .  .  .  .,7,7,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0
Total .  .  .  .  .  .  .  .  .  .,302,293,9
,,,
,,,
GOVERNOR,,,
Vote for NOT MORE THAN  1,,,
Tom Wolf (DEM).  .  .  .  .  .  .  .  .  .,158,151,7
Scott R Wagner (REP).  .  .  .  .  .  .  .,139,137,2
Paul Glover (GRN).  .  .  .  .  .  .  .  .,1,1,0
Ken V Krawchuk (LN) .  .  .  .  .  .  .  .,5,5,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,1,1,0
Total .  .  .  .  .  .  .  .  .  .,304,295,9
,,,
,,,
REPRESENTATIVE IN CONGRESS 14TH DISTRICT,,,
Vote for NOT MORE THAN  1,,,
Bibiana Boerio (DEM).  .  .  .  .  .  .  .,131,125,6
Guy Reschenthaler (REP).  .  .  .  .  .  .,168,166,2
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0
Total .  .  .  .  .  .  .  .  .  .,299,291,8
,,,
,,,
REPRESENTATIVE IN THE GENERAL ASSEMBLY 33RD D,ISTRICT,,
Vote for NOT MORE THAN  1,,,
Frank Dermody (DEM) .  .  .  .  .  .  .  .,143,136,7
Joshua R Nulph (REP).  .  .  .  .  .  .  .,164,162,2
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0
Total .  .  .  .  .  .  .  .  .  .,307,298,9
,,,
PREC REPORT-GROUP DETAIL,O,,
,G,,
,N,,
Run Date:11/14/18 10:49 AM,,,
,,,
3834 NEW KENSINGTON - 3-4,,,
TOTAL,VOTES,Day,Absentee
REGISTERED VOTERS - TOTAL .  .  .  .  .  .,626,,
BALLOTS CAST - TOTAL.  .  .  .  .  .  .  .,345,332,13
VOTER TURNOUT - TOTAL  .  .  .  .  .  .  .,,,
,,,
,,,
STRAIGHT PARTY,,,
Vote for NOT MORE THAN  1,,,
Democratic (DEM) .  .  .  .  .  .  .  .  .,104,95,9
Republican (REP) .  .  .  .  .  .  .  .  .,86,84,2
Green Party (GRN).  .  .  .  .  .  .  .  .,0,0,0
Libertarian (LN) .  .  .  .  .  .  .  .  .,1,1,0
Total .  .  .  .  .  .  .  .  .  .,191,180,11
,,,
,,,
UNITED STATES SENATOR,,,
Vote for NOT MORE THAN  1,,,
Bob Casey Jr (DEM)  .  .  .  .  .  .  .  .,180,170,10
Lou Barletta (REP)  .  .  .  .  .  .  .  .,144,141,3
Neal Gale (GRN)  .  .  .  .  .  .  .  .  .,4,4,0
Dale R Kerns Jr (LN).  .  .  .  .  .  .  .,8,8,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0
Total .  .  .  .  .  .  .  .  .  .,336,323,13
,,,
,,,
GOVERNOR,,,
Vote for NOT MORE THAN  1,,,
Tom Wolf (DEM).  .  .  .  .  .  .  .  .  .,197,187,10
Scott R Wagner (REP).  .  .  .  .  .  .  .,136,133,3
Paul Glover (GRN).  .  .  .  .  .  .  .  .,3,3,0
Ken V Krawchuk (LN) .  .  .  .  .  .  .  .,4,4,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0
Total .  .  .  .  .  .  .  .  .  .,340,327,13
,,,
,,,
REPRESENTATIVE IN CONGRESS 14TH DISTRICT,,,
Vote for NOT MORE THAN  1,,,
Bibiana Boerio (DEM).  .  .  .  .  .  .  .,174,164,10
Guy Reschenthaler (REP).  .  .  .  .  .  .,160,157,3
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0
Total .  .  .  .  .  .  .  .  .  .,334,321,13
,,,
,,,
REPRESENTATIVE IN THE GENERAL ASSEMBLY 33RD D,ISTRICT,,
Vote for NOT MORE THAN  1,,,
Frank Dermody (DEM) .  .  .  .  .  .  .  .,197,187,10
Joshua R Nulph (REP).  .  .  .  .  .  .  .,143,140,3
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0
