candidate,votes,election_day,absentee,provisional
PAUL GLOVER (GRN).  .  .  .  .  .  .  .  .,5,5,0,0
KEN V KRAWCHUK (LIB).  .  .  .  .  .  .  .,6,6,0,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
REPRESENTATIVE IN CONGRESS 16TH DISTRICT,,,,
VOTE FOR NO MORE THAN  1,,,,
RON DINICOLA (DEM)  .  .  .  .  .  .  .  .,137,132,5,0
MIKE KELLY (REP) .  .  .  .  .  .  .  .  .,297,290,7,0
EBERT G BILL BEEMAN (LIB) .  .  .  .  .  .,13,13,0,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
REPRESENTATIVE IN THE GENERAL ASSEMBLY 8TH LE,GISLATI,,,
DISTRICT,,,,
VOTE FOR NO MORE THAN  1,,,,
LISA BOEVING-LEARNED (DEM).  .  .  .  .  .,140,135,5,0
TEDD NESBIT (REP).  .  .  .  .  .  .  .  .,305,298,7,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
PREC REPORT-GROUP DETAIL,,"R, PENNS",YLVANIA,
,N,,,
,G,OFF,ICIAL RESULTS,
RUN DATE:11/15/18 09:46 AM,,,,
REPORT-EL30A PAGE 0021-01,,,,
,,,,
0021 CLAY TOWNSHIP,,,,
TOTAL,VOTES,N DAY,ABSENTEE,PROVISIONAL
REGISTERED VOTERS - TOTAL .  .  .  .  .  .,"1,516",,,
BALLOTS CAST - TOTAL.  .  .  .  .  .  .  .,944,914,26,4
VOTER TURNOUT - TOTAL  .  .  .  .  .  .  .,,,,
,,,,
,,,,
STRAIGHT PARTY VOTING,,,,
VOTE FOR NO MORE THAN  1,,,,
DEMOCRATIC (DEM) .  .  .  .  .  .  .  .  .,139,137,2,0
REPUBLICAN (REP) .  .  .  .  .  .  .  .  .,407,393,12,2
GREEN (GRN).  .  .  .  .  .  .  .  .  .  .,0,0,0,0
INDEPENDENT (IND).  .  .  .  .  .  .  .  .,0,0,0,0
LIBERTARIAN (LIB).  .  .  .  .  .  .  .  .,3,3,0,0
,,,,
,,,,
UNITED STATES SENATOR,,,,
VOTE FOR NO MORE THAN  1,,,,
"BOB CASEY, JR (DEM) .  .  .  .  .  .  .  .",309,305,4,0
LOU BARLETTA (REP)  .  .  .  .  .  .  .  .,616,592,22,2
NEAL GALE (GRN)  .  .  .  .  .  .  .  .  .,6,4,0,2
"DALE R KERNS, JR (LIB) .  .  .  .  .  .  .",8,8,0,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
GOVERNOR,,,,
VOTE FOR NO MORE THAN  1,,,,
TOM WOLF (DEM).  .  .  .  .  .  .  .  .  .,319,311,6,2
SCOTT R WAGNER (REP).  .  .  .  .  .  .  .,600,580,18,2
PAUL GLOVER (GRN).  .  .  .  .  .  .  .  .,4,3,1,0
KEN V KRAWCHUK (LIB).  .  .  .  .  .  .  .,16,15,1,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
REPRESENTATIVE IN CONGRESS 16TH DISTRICT,,,,
VOTE FOR NO MORE THAN  1,,,,
RON DINICOLA (DEM)  .  .  .  .  .  .  .  .,279,272,5,2
MIKE KELLY (REP) .  .  .  .  .  .  .  .  .,648,627,19,2
EBERT G BILL BEEMAN (LIB) .  .  .  .  .  .,13,12,1,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
REPRESENTATIVE IN THE GENERAL ASSEMBLY 8TH LE,GISLATI,,,
DISTRICT,,,,
VOTE FOR NO MORE THAN  1,,,,
LISA BOEVING-LEARNED (DEM).  .  .  .  .  .,267,263,2,2
TEDD NESBIT (REP).  .  .  .  .  .  .  .  .,666,642,22,2
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
PREC REPORT-GROUP DETAIL,,"R, PENNS",YLVANIA,
,N,,,
,G,OFF,ICIAL RESULTS,
RUN DATE:11/15/18 09:46 AM,,,,
REPORT-EL30A PAGE 0022-01,,,,
,,,,
0022 CLEARFIELD TOWNSHIP,,,,
TOTAL,VOTES,N DAY,ABSENTEE,PROVISIONAL
REGISTERED VOTERS - TOTAL .  .  .  .  .  .,"1,453",,,
BALLOTS CAST - TOTAL.  .  .  .  .  .  .  .,848,830,18,0
VOTER TURNOUT - TOTAL  .  .  .  .  .  .  .,,,,
,,,,
,,,,
STRAIGHT PARTY VOTING,,,,
VOTE FOR NO MORE THAN  1,,,,
DEMOCRATIC (DEM) .  .  .  .  .  .  .  .  .,115,114,1,0
REPUBLICAN (REP) .  .  .  .  .  .  .  .  .,348,337,11,0
GREEN (GRN).  .  .  .  .  .  .  .  .  .  .,2,2,0,0
INDEPENDENT (IND).  .  .  .  .  .  .  .  .,8,8,0,0
LIBERTARIAN (LIB).  .  .  .  .  .  .  .  .,1,1,0,0
,,,,
,,,,
UNITED STATES SENATOR,,,,
VOTE FOR NO MORE THAN  1,,,,
"BOB CASEY, JR (DEM) .  .  .  .  .  .  .  .",270,265,5,0
LOU BARLETTA (REP)  .  .  .  .  .  .  .  .,558,546,12,0
NEAL GALE (GRN)  .  .  .  .  .  .  .  .  .,5,4,1,0
"DALE R KERNS, JR (LIB) .  .  .  .  .  .  .",9,9,0,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
GOVERNOR,,,,
VOTE FOR NO MORE THAN  1,,,,
TOM WOLF (DEM).  .  .  .  .  .  .  .  .  .,273,267,6,0
SCOTT R WAGNER (REP).  .  .  .  .  .  .  .,552,540,12,0
PAUL GLOVER (GRN).  .  .  .  .  .  .  .  .,13,13,0,0
KEN V KRAWCHUK (LIB).  .  .  .  .  .  .  .,8,8,0,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
REPRESENTATIVE IN CONGRESS 15TH DISTRICT,,,,
VOTE FOR NO MORE THAN  1,,,,
SUSAN BOSER (DEM).  .  .  .  .  .  .  .  .,245,239,6,0
GLENN GT THOMPSON (REP).  .  .  .  .  .  .,595,583,12,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,1,1,0,0
,,,,
,,,,
REPRESENTATIVE IN THE GENERAL ASSEMBLY 11TH L,EGISLAT,,,
DISTRICT,,,,
VOTE FOR NO MORE THAN  1,,,,
BRIAN ELLIS (REP).  .  .  .  .  .  .  .  .,614,601,13,0
SAMUEL DOCTOR (IND) .  .  .  .  .  .  .  .,145,142,3,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
PREC REPORT-GROUP DETAIL,,"R, PENNS",YLVANIA,
,N,,,
,G,OFF,ICIAL RESULTS,
RUN DATE:11/15/18 09:46 AM,,,,
REPORT-EL30A PAGE 0023-01,,,,
,,,,
0023 CLINTON TOWNSHIP,,,,
TOTAL,VOTES,N DAY,ABSENTEE,PROVISIONAL
REGISTERED VOTERS - TOTAL .  .  .  .  .  .,"1,952",,,
BALLOTS CAST - TOTAL.  .  .  .  .  .  .  .,"1,279","1,236",43,0
VOTER TURNOUT - TOTAL  .  .  .  .  .  .  .,,,,
,,,,
,,,,
STRAIGHT PARTY VOTING,,,,
VOTE FOR NO MORE THAN  1,,,,
DEMOCRATIC (DEM) .  .  .  .  .  .  .  .  .,148,139,9,0
REPUBLICAN (REP) .  .  .  .  .  .  .  .  .,484,473,11,0
GREEN (GRN).  .  .  .  .  .  .  .  .  .  .,5,5,0,0
INDEPENDENT (IND).  .  .  .  .  .  .  .  .,0,0,0,0
LIBERTARIAN (LIB).  .  .  .  .  .  .  .  .,1,1,0,0
,,,,
,,,,
UNITED STATES SENATOR,,,,
VOTE FOR NO MORE THAN  1,,,,
"BOB CASEY, JR (DEM) .  .  .  .  .  .  .  .",433,406,27,0
LOU BARLETTA (REP)  .  .  .  .  .  .  .  .,815,799,16,0
NEAL GALE (GRN)  .  .  .  .  .  .  .  .  .,11,11,0,0
"DALE R KERNS, JR (LIB) .  .  .  .  .  .  .",10,10,0,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,1,1,0,0
,,,,
,,,,
GOVERNOR,,,,
VOTE FOR NO MORE THAN  1,,,,
TOM WOLF (DEM).  .  .  .  .  .  .  .  .  .,469,442,27,0
SCOTT R WAGNER (REP).  .  .  .  .  .  .  .,785,769,16,0
PAUL GLOVER (GRN).  .  .  .  .  .  .  .  .,11,11,0,0
KEN V KRAWCHUK (LIB).  .  .  .  .  .  .  .,11,11,0,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
REPRESENTATIVE IN CONGRESS 16TH DISTRICT,,,,
VOTE FOR NO MORE THAN  1,,,,
RON DINICOLA (DEM)  .  .  .  .  .  .  .  .,381,358,23,0
MIKE KELLY (REP) .  .  .  .  .  .  .  .  .,873,853,20,0
EBERT G BILL BEEMAN (LIB) .  .  .  .  .  .,15,15,0,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
REPRESENTATIVE IN THE GENERAL ASSEMBLY 12TH L,EGISLAT,,,
DISTRICT,,,,
VOTE FOR NO MORE THAN  1,,,,
"DANIEL B SMITH, JR (DEM)  .  .  .  .  .  .",397,375,22,0
DARYL METCALFE (REP).  .  .  .  .  .  .  .,862,844,18,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,4,4,0,0
,,,,
,,,,
PREC REPORT-GROUP DETAIL,,"R, PENNS",YLVANIA,
,N,,,
,G,OFF,ICIAL RESULTS,
RUN DATE:11/15/18 09:46 AM,,,,
REPORT-EL30A PAGE 0024-01,,,,
,,,,
0024 CONCORD TOWNSHIP,,,,
TOTAL,VOTES,N DAY,ABSENTEE,PROVISIONAL
REGISTERED VOTERS - TOTAL .  .  .  .  .  .,877,,,
BALLOTS CAST - TOTAL.  .  .  .  .  .  .  .,542,524,16,2
VOTER TURNOUT - TOTAL  .  .  .  .  .  .  .,,,,
,,,,
,,,,
STRAIGHT PARTY VOTING,,,,
VOTE FOR NO MORE THAN  1,,,,
DEMOCRATIC (DEM) .  .  .  .  .  .  .  .  .,54,53,1,0
REPUBLICAN (REP) .  .  .  .  .  .  .  .  .,231,220,9,2
GREEN (GRN).  .  .  .  .  .  .  .  .  .  .,2,2,0,0
INDEPENDENT (IND).  .  .  .  .  .  .  .  .,0,0,0,0
LIBERTARIAN (LIB).  .  .  .  .  .  .  .  .,3,3,0,0
,,,,
,,,,
UNITED STATES SENATOR,,,,
VOTE FOR NO MORE THAN  1,,,,
"BOB CASEY, JR (DEM) .  .  .  .  .  .  .  .",161,155,6,0
LOU BARLETTA (REP)  .  .  .  .  .  .  .  .,361,349,10,2
NEAL GALE (GRN)  .  .  .  .  .  .  .  .  .,6,6,0,0
"DALE R KERNS, JR (LIB) .  .  .  .  .  .  .",9,9,0,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
GOVERNOR,,,,
VOTE FOR NO MORE THAN  1,,,,
TOM WOLF (DEM).  .  .  .  .  .  .  .  .  .,158,154,4,0
SCOTT R WAGNER (REP).  .  .  .  .  .  .  .,363,351,10,2
PAUL GLOVER (GRN).  .  .  .  .  .  .  .  .,8,7,1,0
KEN V KRAWCHUK (LIB).  .  .  .  .  .  .  .,8,8,0,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,1,1,0,0
,,,,
,,,,
REPRESENTATIVE IN CONGRESS 15TH DISTRICT,,,,
VOTE FOR NO MORE THAN  1,,,,
SUSAN BOSER (DEM).  .  .  .  .  .  .  .  .,133,128,5,0
GLENN GT THOMPSON (REP).  .  .  .  .  .  .,400,387,11,2
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
REPRESENTATIVE IN THE GENERAL ASSEMBLY 64TH L,EGISLAT,,,
DISTRICT,,,,
VOTE FOR NO MORE THAN  1,,,,
JOHN KLUCK (DEM) .  .  .  .  .  .  .  .  .,131,126,5,0
R. LEE JAMES (REP)  .  .  .  .  .  .  .  .,402,389,11,2
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
PREC REPORT-GROUP DETAIL,,"R, PENNS",YLVANIA,
,N,,,
,G,OFF,ICIAL RESULTS,
RUN DATE:11/15/18 09:46 AM,,,,
REPORT-EL30A PAGE 0025-01,,,,
,,,,
0025 CONNOQUENESSING TOWNSHIP,,,,
TOTAL,VOTES,N DAY,ABSENTEE,PROVISIONAL
REGISTERED VOTERS - TOTAL .  .  .  .  .  .,"3,034",,,
BALLOTS CAST - TOTAL.  .  .  .  .  .  .  .,"2,011","1,921",90,0
VOTER TURNOUT - TOTAL  .  .  .  .  .  .  .,,,,
,,,,
,,,,
STRAIGHT PARTY VOTING,,,,
VOTE FOR NO MORE THAN  1,,,,
DEMOCRATIC (DEM) .  .  .  .  .  .  .  .  .,220,209,11,0
REPUBLICAN (REP) .  .  .  .  .  .  .  .  .,785,755,30,0
GREEN (GRN).  .  .  .  .  .  .  .  .  .  .,0,0,0,0
INDEPENDENT (IND).  .  .  .  .  .  .  .  .,9,9,0,0
LIBERTARIAN (LIB).  .  .  .  .  .  .  .  .,5,4,1,0
,,,,
,,,,
UNITED STATES SENATOR,,,,
VOTE FOR NO MORE THAN  1,,,,
"BOB CASEY, JR (DEM) .  .  .  .  .  .  .  .",652,621,31,0
LOU BARLETTA (REP)  .  .  .  .  .  .  .  .,"1,296","1,237",59,0
NEAL GALE (GRN)  .  .  .  .  .  .  .  .  .,9,9,0,0
"DALE R KERNS, JR (LIB) .  .  .  .  .  .  .",30,30,0,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
GOVERNOR,,,,
VOTE FOR NO MORE THAN  1,,,,
TOM WOLF (DEM).  .  .  .  .  .  .  .  .  .,699,667,32,0
SCOTT R WAGNER (REP).  .  .  .  .  .  .  .,"1,262","1,209",53,0
PAUL GLOVER (GRN).  .  .  .  .  .  .  .  .,10,9,1,0
KEN V KRAWCHUK (LIB).  .  .  .  .  .  .  .,29,29,0,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
REPRESENTATIVE IN CONGRESS 16TH DISTRICT,,,,
VOTE FOR NO MORE THAN  1,,,,
RON DINICOLA (DEM)  .  .  .  .  .  .  .  .,540,518,22,0
MIKE KELLY (REP) .  .  .  .  .  .  .  .  .,"1,437","1,369",68,0
EBERT G BILL BEEMAN (LIB) .  .  .  .  .  .,28,28,0,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,1,1,0,0
,,,,
,,,,
REPRESENTATIVE IN THE GENERAL ASSEMBLY 11TH L,EGISLAT,,,
DISTRICT,,,,
VOTE FOR NO MORE THAN  1,,,,
BRIAN ELLIS (REP).  .  .  .  .  .  .  .  .,"1,547","1,478",69,0
SAMUEL DOCTOR (IND) .  .  .  .  .  .  .  .,325,320,5,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,5,5,0,0
,,,,
,,,,
PREC REPORT-GROUP DETAIL,,"R, PENNS",YLVANIA,
,N,,,
,G,OFF,ICIAL RESULTS,
RUN DATE:11/15/18 09:46 AM,,,,
REPORT-EL30A PAGE 0026-01,,,,
,,,,
0026 CRANBERRY TOWNSHIP EAST 1,,,,
TOTAL,VOTES,N DAY,ABSENTEE,PROVISIONAL
REGISTERED VOTERS - TOTAL .  .  .  .  .  .,"2,722",,,
BALLOTS CAST - TOTAL.  .  .  .  .  .  .  .,"1,729","1,635",87,7
VOTER TURNOUT - TOTAL  .  .  .  .  .  .  .,,,,
,,,,
,,,,
STRAIGHT PARTY VOTING,,,,
VOTE FOR NO MORE THAN  1,,,,
DEMOCRATIC (DEM) .  .  .  .  .  .  .  .  .,323,303,19,1
REPUBLICAN (REP) .  .  .  .  .  .  .  .  .,577,546,29,2
GREEN (GRN).  .  .  .  .  .  .  .  .  .  .,1,0,1,0
INDEPENDENT (IND).  .  .  .  .  .  .  .  .,0,0,0,0
LIBERTARIAN (LIB).  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
UNITED STATES SENATOR,,,,
VOTE FOR NO MORE THAN  1,,,,
"BOB CASEY, JR (DEM) .  .  .  .  .  .  .  .",694,651,42,1
LOU BARLETTA (REP)  .  .  .  .  .  .  .  .,"1,013",965,42,6
NEAL GALE (GRN)  .  .  .  .  .  .  .  .  .,6,5,1,0
"DALE R KERNS, JR (LIB) .  .  .  .  .  .  .",14,14,0,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,1,0,1,0
,,,,
,,,,
GOVERNOR,,,,
VOTE FOR NO MORE THAN  1,,,,
TOM WOLF (DEM).  .  .  .  .  .  .  .  .  .,747,703,42,2
SCOTT R WAGNER (REP).  .  .  .  .  .  .  .,946,901,40,5
PAUL GLOVER (GRN).  .  .  .  .  .  .  .  .,8,6,2,0
KEN V KRAWCHUK (LIB).  .  .  .  .  .  .  .,21,19,2,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,1,1,0,0
,,,,
,,,,
REPRESENTATIVE IN CONGRESS 16TH DISTRICT,,,,
VOTE FOR NO MORE THAN  1,,,,
RON DINICOLA (DEM)  .  .  .  .  .  .  .  .,628,587,40,1
MIKE KELLY (REP) .  .  .  .  .  .  .  .  .,"1,081","1,029",46,6
EBERT G BILL BEEMAN (LIB) .  .  .  .  .  .,14,14,0,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,2,2,0,0
,,,,
,,,,
REPRESENTATIVE IN THE GENERAL ASSEMBLY 12TH L,EGISLAT,,,
DISTRICT,,,,
VOTE FOR NO MORE THAN  1,,,,
"DANIEL B SMITH, JR (DEM)  .  .  .  .  .  .",738,694,43,1
DARYL METCALFE (REP).  .  .  .  .  .  .  .,978,931,42,5
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,3,3,0,0
,,,,
,,,,
PREC REPORT-GROUP DETAIL,,"R, PENNS",YLVANIA,
,N,,,
,G,OFF,ICIAL RESULTS,
RUN DATE:11/15/18 09:46 AM,,,,
REPORT-EL30A PAGE 0027-01,,,,
,,,,
0027 CRANBERRY TOWNSHIP EAST 2,,,,
TOTAL,VOTES,N DAY,ABSENTEE,PROVISIONAL
REGISTERED VOTERS - TOTAL .  .  .  .  .  .,"2,282",,,
BALLOTS CAST - TOTAL.  .  .  .  .  .  .  .,"1,461","1,364",87,10
VOTER TURNOUT - TOTAL  .  .  .  .  .  .  .,,,,
,,,,
,,,,
STRAIGHT PARTY VOTING,,,,
VOTE FOR NO MORE THAN  1,,,,
DEMOCRATIC (DEM) .  .  .  .  .  .  .  .  .,241,224,16,1
REPUBLICAN (REP) .  .  .  .  .  .  .  .  .,533,496,31,6
GREEN (GRN).  .  .  .  .  .  .  .  .  .  .,3,3,0,0
INDEPENDENT (IND).  .  .  .  .  .  .  .  .,0,0,0,0
LIBERTARIAN (LIB).  .  .  .  .  .  .  .  .,1,1,0,0
,,,,
,,,,
UNITED STATES SENATOR,,,,
VOTE FOR NO MORE THAN  1,,,,
"BOB CASEY, JR (DEM) .  .  .  .  .  .  .  .",529,488,38,3
LOU BARLETTA (REP)  .  .  .  .  .  .  .  .,899,845,47,7
NEAL GALE (GRN)  .  .  .  .  .  .  .  .  .,6,6,0,0
"DALE R KERNS, JR (LIB) .  .  .  .  .  .  .",18,16,2,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
GOVERNOR,,,,
VOTE FOR NO MORE THAN  1,,,,
TOM WOLF (DEM).  .  .  .  .  .  .  .  .  .,580,533,44,3
SCOTT R WAGNER (REP).  .  .  .  .  .  .  .,853,804,42,7
PAUL GLOVER (GRN).  .  .  .  .  .  .  .  .,5,5,0,0
KEN V KRAWCHUK (LIB).  .  .  .  .  .  .  .,14,14,0,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,3,2,1,0
,,,,
,,,,
REPRESENTATIVE IN CONGRESS 16TH DISTRICT,,,,
VOTE FOR NO MORE THAN  1,,,,
RON DINICOLA (DEM)  .  .  .  .  .  .  .  .,387,353,33,1
MIKE KELLY (REP) .  .  .  .  .  .  .  .  .,787,736,42,9
EBERT G BILL BEEMAN (LIB) .  .  .  .  .  .,9,9,0,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,1,1,0,0
,,,,
,,,,
REPRESENTATIVE IN CONGRESS 17TH DISTRICT,,,,
VOTE FOR NO MORE THAN  1,,,,
CONOR LAMB (DEM) .  .  .  .  .  .  .  .  .,109,106,3,0
KEITH ROTHFUS (REP) .  .  .  .  .  .  .  .,162,153,9,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
REPRESENTATIVE IN THE GENERAL ASSEMBLY 12TH L,EGISLAT,,,
DISTRICT,,,,
VOTE FOR NO MORE THAN  1,,,,
"DANIEL B SMITH, JR (DEM)  .  .  .  .  .  .",549,509,37,3
DARYL METCALFE (REP).  .  .  .  .  .  .  .,902,846,50,6
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,6,6,0,0
,,,,
,,,,
PREC REPORT-GROUP DETAIL,,"R, PENNS",YLVANIA,
,N,,,
,G,OFF,ICIAL RESULTS,
RUN DATE:11/15/18 09:46 AM,,,,
REPORT-EL30A PAGE 0028-01,,,,
,,,,
0028 CRANBERRY TOWNSHIP EAST 3,,,,
TOTAL,VOTES,N DAY,ABSENTEE,PROVISIONAL
REGISTERED VOTERS - TOTAL .  .  .  .  .  .,"2,315",,,
BALLOTS CAST - TOTAL.  .  .  .  .  .  .  .,"1,509","1,450",58,1
VOTER TURNOUT - TOTAL  .  .  .  .  .  .  .,,,,
,,,,
,,,,
STRAIGHT PARTY VOTING,,,,
VOTE FOR NO MORE THAN  1,,,,
DEMOCRATIC (DEM) .  .  .  .  .  .  .  .  .,322,309,13,0
REPUBLICAN (REP) .  .  .  .  .  .  .  .  .,443,428,15,0
GREEN (GRN).  .  .  .  .  .  .  .  .  .  .,2,2,0,0
INDEPENDENT (IND).  .  .  .  .  .  .  .  .,0,0,0,0
LIBERTARIAN (LIB).  .  .  .  .  .  .  .  .,6,5,1,0
,,,,
,,,,
UNITED STATES SENATOR,,,,
VOTE FOR NO MORE THAN  1,,,,
"BOB CASEY, JR (DEM) .  .  .  .  .  .  .  .",694,669,25,0
LOU BARLETTA (REP)  .  .  .  .  .  .  .  .,779,749,29,1
NEAL GALE (GRN)  .  .  .  .  .  .  .  .  .,8,8,0,0
"DALE R KERNS, JR (LIB) .  .  .  .  .  .  .",21,17,4,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
GOVERNOR,,,,
VOTE FOR NO MORE THAN  1,,,,
TOM WOLF (DEM).  .  .  .  .  .  .  .  .  .,727,701,26,0
SCOTT R WAGNER (REP).  .  .  .  .  .  .  .,744,716,27,1
PAUL GLOVER (GRN).  .  .  .  .  .  .  .  .,10,9,1,0
KEN V KRAWCHUK (LIB).  .  .  .  .  .  .  .,22,19,3,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,1,1,0,0
,,,,
,,,,
REPRESENTATIVE IN CONGRESS 16TH DISTRICT,,,,
VOTE FOR NO MORE THAN  1,,,,
RON DINICOLA (DEM)  .  .  .  .  .  .  .  .,42,39,3,0
MIKE KELLY (REP) .  .  .  .  .  .  .  .  .,70,68,2,0
EBERT G BILL BEEMAN (LIB) .  .  .  .  .  .,1,1,0,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
REPRESENTATIVE IN CONGRESS 17TH DISTRICT,,,,
VOTE FOR NO MORE THAN  1,,,,
CONOR LAMB (DEM) .  .  .  .  .  .  .  .  .,650,625,25,0
KEITH ROTHFUS (REP) .  .  .  .  .  .  .  .,742,715,27,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
REPRESENTATIVE IN THE GENERAL ASSEMBLY 12TH L,EGISLAT,,,
DISTRICT,,,,
VOTE FOR NO MORE THAN  1,,,,
"DANIEL B SMITH, JR (DEM)  .  .  .  .  .  .",725,697,27,1
DARYL METCALFE (REP).  .  .  .  .  .  .  .,767,738,29,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,6,6,0,0
,,,,
,,,,
PREC REPORT-GROUP DETAIL,,"R, PENNS",YLVANIA,
,N,,,
,G,OFF,ICIAL RESULTS,
RUN DATE:11/15/18 09:46 AM,,,,
REPORT-EL30A PAGE 0029-01,,,,
,,,,
0029 CRANBERRY TOWNSHIP WEST 1,,,,
TOTAL,VOTES,N DAY,ABSENTEE,PROVISIONAL
REGISTERED VOTERS - TOTAL .  .  .  .  .  .,"2,716",,,
BALLOTS CAST - TOTAL.  .  .  .  .  .  .  .,"1,749","1,665",81,3
VOTER TURNOUT - TOTAL  .  .  .  .  .  .  .,,,,
,,,,
,,,,
STRAIGHT PARTY VOTING,,,,
VOTE FOR NO MORE THAN  1,,,,
DEMOCRATIC (DEM) .  .  .  .  .  .  .  .  .,347,326,20,1
REPUBLICAN (REP) .  .  .  .  .  .  .  .  .,592,566,25,1
GREEN (GRN).  .  .  .  .  .  .  .  .  .  .,1,1,0,0
INDEPENDENT (IND).  .  .  .  .  .  .  .  .,0,0,0,0
LIBERTARIAN (LIB).  .  .  .  .  .  .  .  .,5,5,0,0
,,,,
,,,,
UNITED STATES SENATOR,,,,
VOTE FOR NO MORE THAN  1,,,,
"BOB CASEY, JR (DEM) .  .  .  .  .  .  .  .",715,675,39,1
LOU BARLETTA (REP)  .  .  .  .  .  .  .  .,"1,007",963,42,2
NEAL GALE (GRN)  .  .  .  .  .  .  .  .  .,3,3,0,0
"DALE R KERNS, JR (LIB) .  .  .  .  .  .  .",20,20,0,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
GOVERNOR,,,,
VOTE FOR NO MORE THAN  1,,,,
TOM WOLF (DEM).  .  .  .  .  .  .  .  .  .,771,731,39,1
SCOTT R WAGNER (REP).  .  .  .  .  .  .  .,947,903,42,2
PAUL GLOVER (GRN).  .  .  .  .  .  .  .  .,8,8,0,0
KEN V KRAWCHUK (LIB).  .  .  .  .  .  .  .,18,18,0,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
REPRESENTATIVE IN CONGRESS 16TH DISTRICT,,,,
VOTE FOR NO MORE THAN  1,,,,
RON DINICOLA (DEM)  .  .  .  .  .  .  .  .,640,603,36,1
MIKE KELLY (REP) .  .  .  .  .  .  .  .  .,"1,071","1,024",45,2
EBERT G BILL BEEMAN (LIB) .  .  .  .  .  .,19,19,0,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
REPRESENTATIVE IN CONGRESS 17TH DISTRICT,,,,
VOTE FOR NO MORE THAN  1,,,,
CONOR LAMB (DEM) .  .  .  .  .  .  .  .  .,6,6,0,0
KEITH ROTHFUS (REP) .  .  .  .  .  .  .  .,7,7,0,0
WRITE-IN.  .  .  .  .  .  .  .  .  .  .  .,0,0,0,0
,,,,
,,,,
REPRESENTATIVE IN THE GENERAL ASSEMBLY 12TH L,EGISLAT,,,
DISTRICT,,,,
VOTE FOR NO MORE THAN  1,,,,
"DANIEL B SMITH, JR (DEM)  .  .  .  .  .  .",734,695,38,1
DARYL METCALFE (REP).  .  .  .  .  .  .  .,992,948,42,2
